recipe_name,recipe_code,matched_source_file,source_servings,source_ingredient_count,upload_ingredient_count,missing_master_count,match_score,name_similarity,token_overlap,needs_review
Sayadiyah Rice KBR-384 ONEGO V3,RCP-073-SAYADIYAHR-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Rice\Sayadiyah Rice.100 pax.docx,100,21,21,0,2.15,1.0,1.0,
Vegetable Rice KBR-384 ONEGO V3,RCP-074-VEGETABLER-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Rice\Vegetable Rice.100 pax.docx,100,14,14,0,2.15,1.0,1.0,
Vermicelli Rice KBR-384 ONEGO V3,RCP-075-VERMICELLI-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Rice\Vermicelli Rice.docx,100,7,7,0,2.15,1.0,1.0,
White Rice KBR-384 ONEGO V3,RCP-076-WHITERICE-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Rice\White Rice Recipe.100 pax.docx,100,4,4,0,2.15,1.0,1.0,
Yellow Rice KBR-384 ONEGO V3,RCP-077-YELLOWRICE-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Rice\Yellow Rice .docx,100,23,23,1,2.15,1.0,1.0,YES
Zarda Rice KBR-384 ONEGO V3,RCP-078-ZARDARICE-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Rice\Zarda Rice Recipe.100 PAX.docx,100,13,13,2,2.15,1.0,1.0,YES
Chana Chat KBR-384 ONEGO V3,RCP-079-CHANACHAT-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Salad\Chana Chat 100 pax .docx,100,18,18,3,2.15,1.0,1.0,YES
Green Chutney KBR-384 ONEGO V3,RCP-080-GREENCHUTN-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Salad\Green Chutney.100 pax.docx,100,10,10,0,2.15,1.0,1.0,
Green Salad Mix KBR-384 ONEGO V3,RCP-081-GREENSALAD-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Salad\Green Salad Mix.100 pax.docx,100,9,9,0,2.15,1.0,1.0,
Hummus for KBR-384 ONEGO V3,RCP-082-HUMMUSFOR-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Salad\Hummus for 100 pax .docx,100,11,11,0,2.15,1.0,1.0,
Raita KBR-384 ONEGO V3,RCP-083-RAITA-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Salad\Raita 100 pax .docx,100,11,11,0,2.15,1.0,1.0,
Yogurt Cucumber Salad KBR-384 ONEGO V3,RCP-084-YOGURTCUCU-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Salad\Yogurt Cucumber Salad.100 pax.docx,100,8,8,0,2.15,1.0,1.0,
Lab. a shreen KBR-384 ONEGO V3,RCP-085-LABASHREEN-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Sweet\Lab. a shreen 100 pax.docx,100,14,14,3,2.15,1.0,1.0,YES
Mahalabia KBR-384 ONEGO V3,RCP-086-MAHALABIA-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Sweet\Mahalabia Recipe.100 pax.docx,100,7,7,0,2.15,1.0,1.0,
omali KBR-384 ONEGO V3,RCP-087-OMALI-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Sweet\omali 100 pax.docx,100,13,13,0,2.15,1.0,1.0,
Rice pudding KBR-384 ONEGO V3,RCP-088-RICEPUDDIN-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Sweet\Rice pudding.docx,100,11,11,0,2.15,1.0,1.0,
Shahi Tukra KBR-384 ONEGO V3,RCP-089-SHAHITUKRA-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Sweet\Shahi Tukra Recipe.100 pax.docx,100,10,10,1,2.15,1.0,1.0,YES
Standard Catering Sweet KBR-384 ONEGO V3,RCP-090-STANDARDCA-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Sweet\Standard Catering Sweet 100 pax  .docx,100,18,18,2,2.15,1.0,1.0,YES
Vermicelli with Milk KBR-384 ONEGO V3,RCP-091-VERMICELLI-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Sweet\Vermicelli with Milk Recipe.100 pax.docx,100,9,9,1,2.15,1.0,1.0,YES
Achari Okra KBR-384 ONEGO V3,RCP-092-ACHARIOKRA-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Vegetable\Achari Okra.100 pax.docx,100,13,13,1,2.15,1.0,1.0,YES
allo bujiya for KBR-384 ONEGO V3,RCP-093-ALLOBUJIYA-KBR384ONEGOV3,C:\Users\HP\Documents\ChatGPT\sbox food pro\artifacts\recipe-upload-source\MENU\MENU\Vegetable\allo bujiya Ingredients for 100 Servings..docx,100,9,9,1,2.15,1.0,1.0,YES
