item_group,ingredient_code,sku,ingredient_name,unit,unit_price,cooking_yield_percent,calories_per_100g,allergens,package_base_quantity,package_base_unit,package_parse_source
GROCERY,386762,386762,GOODY PASTA #20 SPAGHETTI  24/450,EA,4.3131048,100,364,wheat,,,
CHEMICAL,387037,387037,FAIRY LEMON 12/900ML,EA,11.4166689956332,100,120,none,,,
OPERSUPPLY,388586,388586,ALUMINUM 3 COMP LID 800/45 1/500CT,EA,0.002,100,0,none,,,
GROCERY,391367,391367,SHAMS SUNFLOWER OIL 2/9LTR,EA,65.00125,100,884,none,,,
OPERSUPPLY,391639,391639,AR # KLEENEX UCTAD ROL TWEL #6272 1/6CT,EA,21.18325,100,0,none,,,
GROCERY,392483,392483,NESCAFE CLASSIC COFFEE 12/190G,EA,25.3725,100,120,none,,,
OPERSUPPLY,395605,395605,TEA SPOON SMALL 1/1000CT,EA,0.03,100,0,none,,,
OPERSUPPLY,400188,400188,TAFGA DOUBLE WALL CUP GOLDEN 9Z  1/500CT,EA,0.206,100,0,none,,,
OPERSUPPLY,400731,400731,KOOZ HOT CUPS W/ HANDLE GOLD 1/1000CT,EA,0.085228842,100,0,none,,,
GROCERY,401030,401030,EASTERN GARLIC POWDER 24/200G,EA,9.96835,100,120,none,,,
GROCERY,401170,401170,A- TAFGA FRESHLY SMOKED PAPRIKA 6/16Z,EA,39.166675,100,120,none,,,
GROCERY,401443,401443,LIPTON GREEN TEA MINT 12/50/1.3G,PAK,16.91665,100,120,none,,,
GROCERY,401444,401444,LIPTON GREEN TEA LEMON 12/50/1.3G,PAK,16.9166666666667,100,120,none,,,
GROCERY,402514,402514,A- MAKATI CHINESE NOODLES 30/200G,EA,5.01342052980132,100,120,wheat,,,
GROCERY,404298,404298,A-TAFGA SB OKRA ZERO 20/400G,EA,6.4,100,120,none,,,
GROCERY,404314,404314,A-5 DIAMOND RAISIN 1/10KG,KG,17.1774693548387,90,282,none,,,
GROCERY,404321,404321,A-MELLOW LENTIL BROWN WHOLE 1/15KG,KG,4.16256476190476,100,120,none,,,
GROCERY,404322,404322,A-ADELCO COCONUT POWDR 1/7KG,EA,93.1168,100,120,tree nuts,,,
GROCERY,404324,404324,A- ALBAYAT SAUDI SUGAR 1/50KG,KG,2.23292232,100,387,none,,,
GROCERY,404330,404330,A-TOMEX GREEN PEAS 4/2.5KG,EA,15.9241196428571,100,120,none,,,
GROCERY,404331,404331,A-TOMEX CUT GREEN BEAN 4/2.5KG,EA,15.1577929292929,100,120,none,,,
GROCERY,404332,404332,A-TOMEX VEG MIXED VEG 4/2.5KG,EA,14.3831492537313,85,40,none,,,
GROCERY,404344,404344,A-NASEEL MUSTARD WHOLE 1/1KG,KG,8,100,120,none,,,
GROCERY,404349,404349,A- SPIXA CASHEW NUTS 1/1KG,KG,41.1549052631579,100,120,tree nuts,,,
GROCERY,404350,404350,A- SPIXA ALMONDS 1/1KG,KG,36.064,100,120,tree nuts,,,
GROCERY,404352,404352,A- SPIXA WALNUT 1/1KG,KG,39,100,120,tree nuts,,,
GROCERY,404353,404353,A- SPIXA PISTACHIO CLEAN 1/1KG,KG,89.748,100,120,tree nuts,,,
GROCERY,404355,404355,A- NASEEL WHITE SESAME SEEDS 1/1KG,KG,13.8,100,120,sesame,,,
GROCERY,404596,404596,A-NASEEL LEMON SALT 1/1KG,KG,19,100,120,none,,,
GROCERY,404682,404682,A-AL MANAKEL PAPRIKA SWEET JAR  6/1KG,KG,25.76,100,120,none,,,
GROCERY,404968,404968,NIAZ CORIANDER WHOLE (L189) 1/1KG,KG,12.0966470588235,100,120,none,,,
GROCERY,405128,405128,FC FOOD COLOUR RED 6/12/28ML,PAK,33,100,120,none,,,
MEAT,418116,418116,MUTTON CARCAS AUST/HARDWICK U20 1/1KG,KG,29.2642000199621,70,250,none,,,
OPERSUPPLY,422720,422720,TAFGA JASEER CLING FILM 45CM 6KG 6/1600M,EA,38.5420727272727,100,0,none,,,
GROCERY,429366,429366,TFG MOONATY LEMON JUICE 12/1LTR,EA,4.2940393258427,100,120,none,,,
GROCERY,430698,430698,RASNA POWDERED DRINK MANGO 6/2KG,EA,26.66665,100,120,none,,,
BEVERAGES,BR000097,BR000097,BERAIN WATER BOTTLE 40/330ML,EA,0.22500001984127,100,120,none,,,
BEVERAGES,BR000106,BR000106,COCA COLA CAN 30/250ML,EA,1.44633333333333,100,120,none,,,
